<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FEES,D,04/01/12,000000,0.3095000,0.3199800,0.3060000,0.3114900,1629660000
FEES,D,05/01/12,000000,0.3104100,0.3179900,0.3091000,0.3101400,824970000
FEES,D,06/01/12,000000,0.3100000,0.3154400,0.3090000,0.3116000,575720000
FEES,D,09/01/12,000000,0.3115000,0.3157200,0.3095300,0.3131700,415800000
FEES,D,10/01/12,000000,0.3160000,0.3286600,0.3150600,0.3255400,1230260000
FEES,D,11/01/12,000000,0.3249000,0.3279700,0.3142800,0.3165000,1393710000
FEES,D,12/01/12,000000,0.3179900,0.3206600,0.3115400,0.3125000,1270030000
FEES,D,13/01/12,000000,0.3128000,0.3169900,0.3102000,0.3146900,865910000
FEES,D,16/01/12,000000,0.3092100,0.3269700,0.3083000,0.3202800,1676510000
FEES,D,17/01/12,000000,0.3230000,0.3265000,0.3211000,0.3233700,1144990000
FEES,D,18/01/12,000000,0.3234000,0.3248400,0.3181200,0.3230300,1045890000
FEES,D,19/01/12,000000,0.3240000,0.3254800,0.3180000,0.3222000,932160000
FEES,D,20/01/12,000000,0.3229000,0.3229000,0.3160000,0.3183700,739160000
FEES,D,23/01/12,000000,0.3185300,0.3228000,0.3110300,0.3216100,1097030000
FEES,D,24/01/12,000000,0.3200200,0.3219900,0.3161000,0.3180900,698180000
FEES,D,25/01/12,000000,0.3197900,0.3209700,0.3120000,0.3125000,862390000
FEES,D,26/01/12,000000,0.3156000,0.3220000,0.3134000,0.3141000,1690360000
FEES,D,27/01/12,000000,0.3125200,0.3175000,0.3031100,0.3069800,2501520000
FEES,D,30/01/12,000000,0.3047000,0.3115000,0.3020100,0.3074300,1310450000
FEES,D,31/01/12,000000,0.3100200,0.3210000,0.3092300,0.3160000,2650940000
FEES,D,01/02/12,000000,0.3150000,0.3370000,0.3144400,0.3340000,2550900000
FEES,D,02/02/12,000000,0.3340000,0.3437500,0.3281300,0.3335600,2086170000
FEES,D,03/02/12,000000,0.3331100,0.3497000,0.3293500,0.3479000,2132120000
FEES,D,06/02/12,000000,0.3451500,0.3643000,0.3435000,0.3560000,2873010000
FEES,D,07/02/12,000000,0.3550100,0.3638000,0.3508900,0.3518500,1389920000
FEES,D,08/02/12,000000,0.3558500,0.3584800,0.3513000,0.3533700,1067630000
FEES,D,09/02/12,000000,0.3531500,0.3554900,0.3401600,0.3414000,1524950000
FEES,D,10/02/12,000000,0.3390000,0.3443000,0.3257000,0.3278000,1867820000
FEES,D,13/02/12,000000,0.3309900,0.3375000,0.3303300,0.3315800,2244250000
FEES,D,14/02/12,000000,0.3300000,0.3336900,0.3277300,0.3305000,1865310000
FEES,D,15/02/12,000000,0.3334900,0.3365000,0.3287000,0.3349800,1803490000
FEES,D,16/02/12,000000,0.3317300,0.3419500,0.3290000,0.3380000,2646150000
FEES,D,17/02/12,000000,0.3410000,0.3440000,0.3333500,0.3356400,1580370000
FEES,D,20/02/12,000000,0.3401400,0.3410000,0.3370200,0.3381600,724180000
FEES,D,21/02/12,000000,0.3385000,0.3399000,0.3272000,0.3316100,1530060000
FEES,D,22/02/12,000000,0.3320000,0.3356900,0.3210000,0.3223000,1486450000
FEES,D,24/02/12,000000,0.3250000,0.3369000,0.3230300,0.3333400,1878260000
FEES,D,27/02/12,000000,0.3333400,0.3428300,0.3320300,0.3421800,1995270000
FEES,D,28/02/12,000000,0.3444000,0.3450000,0.3389500,0.3404000,1632750000
FEES,D,29/02/12,000000,0.3434500,0.3474700,0.3415100,0.3469000,1132370000
FEES,D,01/03/12,000000,0.3420000,0.3585000,0.3397800,0.3570000,2744750000
FEES,D,02/03/12,000000,0.3600300,0.3657900,0.3522600,0.3588000,2245340000
FEES,D,05/03/12,000000,0.3601100,0.3647000,0.3560000,0.3563000,2340750000
FEES,D,06/03/12,000000,0.3549500,0.3557100,0.3411000,0.3430000,1595850000
FEES,D,07/03/12,000000,0.3430000,0.3555300,0.3369300,0.3518500,1809820000
FEES,D,11/03/12,000000,0.3600000,0.3625100,0.3562400,0.3624700,781800000
FEES,D,12/03/12,000000,0.3594300,0.3646500,0.3567600,0.3589000,1643720000
FEES,D,13/03/12,000000,0.3617000,0.3638000,0.3561000,0.3580100,949980000
